Datetime,Text,Username,
2019-02-17 22:46:27+00:00,"Friends capture you best ?¶ã
?ì∏ @TomFelton https://t.co/sRXQIQEUPn",EmmaWatson,
2019-02-06 20:34:01+00:00,"?å∏ On International Day of Zero Tolerance for Female Genital Mutilation, shout out to student-led charity @_IntegrateUK for their tireless work to #EndFGM 

&amp; for making one of my favourite campaign videos ever! ?é•??#ZeroTolerance4FGM

?å∫ Full video: https://t.co/2kwIhjr2fK https://t.co/YiOS8BxO9f",EmmaWatson,
2019-01-30 11:12:09+00:00,"Disgusted by the ugly prejudice and bigotry behind this violence. Sending love to @JussieSmollett &amp; to anyone that has been hurt by the hatred of those who fear difference. As a society, we continue to fail LGBTQIA+ communities and PoC. https://t.co/FFRPIbhOip",EmmaWatson,
2019-01-09 02:41:52+00:00,Happy 3rd Birthday @OurSharedShelf! Thank you to everyone involved - you give me so much joy! ?íñ?íñ?íñ xx https://t.co/xNqgGkS5PH,EmmaWatson,
2018-12-21 10:42:33+00:00,?ê± https://t.co/wNDcIE42Qu,EmmaWatson,
2018-12-19 17:09:49+00:00,?é•?§Ô∏è @LittleWomen https://t.co/cAQifjE8RM,EmmaWatson,
2018-12-13 17:20:38+00:00,"?úI could never love anyone as I love my sisters.??- Louisa May Alcott, @LittleWomen 
 ?Ä?Ä?Ä?Ä?Ä?Ä?Ä?Ä?Ä
?íó From left: Meg March, Greta Gerwig (director), Jo March, Amy March, Beth March and Laurie (Theodore Laurence). https://t.co/0hngR0BJWX",EmmaWatson,
2018-12-05 12:34:10+00:00,#FrancescaWoodman ?°üì∑‚ô° https://t.co/SLLYm41yjy,EmmaWatson,
2018-11-08 16:00:42+00:00,?å¥?§° Tom?ôs @OriginSeries is out on 14th November. Congrats dear friend. https://t.co/P5LzXOkKBH,EmmaWatson,
2018-11-05 15:04:47+00:00,"?íê Congrats @AmikaGeorge &amp; Lisa Ranran Hu on being honoured for your work by @TeenVogue #21Under21!

?íõ Amika started a movement to end #periodpoverty in the UK: https://t.co/lPjvcucHiv ?íõ Lisa Ranran Hu directed ?úEscape,??a film following the life of a transgender teen in China. https://t.co/89f4UAHyfP",EmmaWatson,
2018-10-31 13:14:33+00:00,#LornaSimpson ?ñº?ñå?é® https://t.co/TQsXXVCZzL,EmmaWatson,
2018-10-30 16:54:28+00:00,"?úAnd we hope that women?ôs anger, put to use within progressive coalitions...will in turn have the power to change the world.???äüèæüìù‚úä?èº

?íå You can read @ProfessorCrunk &amp; @rtraister?ôs powerful November &amp; December @OurSharedShelf letter here: https://t.co/mHfQgnn8N3 https://t.co/qU6yoyfmlL",EmmaWatson,
2018-10-30 12:06:55+00:00,"?§Ô∏è ?úI am not free while any woman is unfree, even when her shackles are very different from my own.??- Audre Lorde https://t.co/HQCD0exlaD",EmmaWatson,
2018-10-28 15:13:11+00:00,"?é•?éû?í´ Our full @oursharedshelf interview: https://t.co/p9xw3zcIEI

If you?ôve already read @renireni's book &amp; want to continue the conversation, her podcast ?òAbout Race with Reni Eddo-Lodge' is available now ?é∂?ëÇ?èª
https://t.co/5fcOrBAszC 

#blackhistorymonth????#oursharedshelf https://t.co/8TZqM6DsKU",EmmaWatson,
2018-10-22 22:37:46+00:00,#WontBeErased ?íó?é®?íó Thank you for these beautiful drawings!! #ProtectTransKids #TransRightsAreHumanRights,EmmaWatson,
2018-10-18 08:59:46+00:00,?íñ?äüè?@stonewalluk @Mermaids_Gender @AllAboutTrans @Genderintell https://t.co/r1wjHu6QRG,EmmaWatson,
2018-10-15 10:59:08+00:00,"?é•?éû?í´ Our full @oursharedshelf interview: https://t.co/p9xw3zcIEI

If you?ôve already read @renireni's book &amp; want to continue the conversation, her podcast ?òAbout Race with Reni Eddo-Lodge' is available to listen now ?é∂?ëÇ?èªhttps://t.co/gJhA8MBfBq #blackhistorymonth #oursharedshelf https://t.co/TChvyeNLZJ",EmmaWatson,
2018-10-14 14:01:26+00:00,.@SheenaRoseart ?ñº?ñå?é® https://t.co/tFIVs69bfo,EmmaWatson,
2018-10-11 10:26:56+00:00,"#DayOfTheGirl?ß†?í™?èº?íó I encourage you to check out @FRIDAfund - focused on supporting the organising of young feminist activists all over the world ?íù because their work is critical to expanding &amp; sustaining social justice movements, now &amp; in the future! ??https://t.co/v7dwB8ICUq https://t.co/bcT5tl6CbF",EmmaWatson,
2018-10-04 12:27:04+00:00,"It?ôs ?è≥Ô∏è‚Äçüå?#LGBTHistoryMonth in the USA. I have learned so much about feminism &amp; anti-racism through the work of LGBTQIA+ activists. Thank you Sylvia Rivera, Audre Lorde &amp; Marsha P. Johnson! ?§Ô∏è?íõ?íö?íô?íú Sending love to those I love &amp; wider LGBTQIA+ communities around the world https://t.co/mdn3mI7ogg",EmmaWatson,
2018-10-03 11:54:54+00:00,"?çõ?íö?ç¥ Proceeds from Together: Our Community Cookbook go towards keeping the Hubb Community Kitchen at @almanaar - a facility frequently used by Grenfell Tower survivors - open every day of the week: https://t.co/1ImuURbvv0 

?íö For more information: https://t.co/dTAy5oVcuv",EmmaWatson,
2018-10-02 12:04:25+00:00,"?å∏ Words cannot express how excited I was to interview @renireni ?íû a London based feminist activist, podcaster, journalist &amp; author of ?òWhy I?ôm No Longer Talking to White People About Race,??the Jan/Feb @oursharedshelf book pick.

?é• Full interview out ?îú! #blackhistorymonth https://t.co/2YSdA8rG9r",EmmaWatson,
2018-09-29 14:09:51+00:00,"It was a great honour to be asked by @PORTERmagazine to pay the deepest respect to the legacy of Dr Savita Halappanavar, whose death powered the determination of activists to change Irish abortion laws &amp; fight for reproductive justice all over the world. https://t.co/KZWRpp7btO https://t.co/yLDXgcHKyh",EmmaWatson,
2018-09-25 12:51:22+00:00,"Fellow Londoners, @TRAID revealed in their new study that 23% of London?ôs clothes are unworn. ?ó£?Üì TRAID offers *free* home collections picking up clothes you no longer wear direct from your door, direct to the charity! https://t.co/RCWiOsMCTm ?åé #GlobalGoals #SDG12 #23percent https://t.co/uAtJUZbECI",EmmaWatson,
2018-09-12 17:18:16+00:00,"SP?éÉ?éÉKY TREAT ?ìö Sept/Oct @oursharedshelf members??choice winner is Rebecca by @D_DuMaurier.

It?ôs a gothic thriller with well-drawn female characters &amp; some prophetic feminist themes. Don?ôt want to give anything more away ?ëª it's a creepy classic!
ENJ?ç¨Y!

&amp; yes, that is Yoda. https://t.co/L8yQCKTg3h",EmmaWatson,
