Datetime,Text,Username,sentiment,user
2018-10-04 12:27:04+00:00,It s    LGBTHistoryMonth in the USA  I have learned so much about feminism  amp  anti racism through the work of LGBTQIA  activists  Thank you Sylvia Rivera  Audre Lorde  amp  Marsha P  Johnson    Sending love to those I love  amp  wider LGBTQIA  communities around the world https t co mdn3mI7ogg,EmmaWatson,0.6705,2
2018-10-03 11:54:54+00:00,  Proceeds from Together  Our Community Cookbook go towards keeping the Hubb Community Kitchen at   a facility frequently used by Grenfell Tower survivors   open every day of the week  https t co 1ImuURbvv0   For more information  https t co dTAy5oVcuv,EmmaWatson,0,2
2018-10-02 12:04:25+00:00,  Words cannot express how excited I was to interview   a London based feminist activist  podcaster  journalist  amp  author of  Why I m No Longer Talking to White People About Race  the Jan Feb book pick    Full interview out    blackhistorymonth https t co 2YSdA8rG9r,EmmaWatson,-0.5,2
2018-09-29 14:09:51+00:00,It was a great honour to be asked by to pay the deepest respect to the legacy of Dr Savita Halappanavar  whose death powered the determination of activists to change Irish abortion laws  amp  fight for reproductive justice all over the world  https t co KZWRpp7btO https t co yLDXgcHKyh,EmmaWatson,0.8779,2
2018-09-25 12:51:22+00:00,Fellow Londoners  revealed in their new study that 23  of London s clothes are unworn    TRAID offers  free  home collections picking up clothes you no longer wear direct from your door  direct to the charity  https t co RCWiOsMCTm    GlobalGoals  SDG12  23percent https t co uAtJUZbECI,EmmaWatson,0.5994,2
2018-09-12 17:18:16+00:00,SP KY TREAT   Sept Oct members  choice winner is Rebecca by It s a gothic thriller with well drawn female characters  amp  some prophetic feminist themes  Don t want to give anything more away   it's a creepy classic  ENJ Y   amp  yes  that is Yoda  https t co L8yQCKTg3h,EmmaWatson,0.9141,2
2018-09-05 16:30:34+00:00,  Sending all the love for your upcoming American tour   Details here  https t co AZiJWNSZKc  Our full interview  https t co 8YLCcRwBA1    oursharedshelf  milkandhoney https t co TFYtI3jkra,EmmaWatson,0.6369,2
2018-08-24 16:40:46+00:00,W W     amp    directors of   a documentary about   Supreme Court Justice Ruth Bader Ginsburg   are my first  FeministFilmmakerFriday   appreciation post    Watch here  https t co FsaGv7EEEt or https t co xX4nMsAXGa https t co 9h0WzZNN4M,EmmaWatson,0.8834,2
2018-08-20 16:05:53+00:00,  Got to meet   So excited for to hear our interview  Rupi  I think I first said I was a feminist aged 9  and since then I have been on a worldwide search to find my tribe  Thank you for being the kindred heart  amp  spirit I knew you would be  E x,EmmaWatson,0.7089,2
2018-08-18 00:18:53+00:00,  Went to see my  TimesUp sisters and in  CrazyRichAsians today  Their performances were pitch perfect  Love you both so much    https t co kI8V7XGI0D,EmmaWatson,0.836,2
2018-08-03 11:29:14+00:00,Calling UK orgs  amp  grassroots activists working to end harassment  amp  abuse in workplaces  amp  communities   don t forget the Justice and Equality Fund is open for applications  The fund was catalysed by UK  TimesUp  amp  is hosted by Apply here  https t co P5OUUe0GBI,EmmaWatson,-0.7351,2
2018-08-02 11:32:17+00:00,Don't forget to watch short film  LeadingLadyParts on Sending love to my  TimesUp sisters involved  Gemma Arterton    Felicity Jones  amp  many more,EmmaWatson,0.7065,2
2018-07-21 20:38:18+00:00,Hockey was a huge part of my life growing up  and I am proud to have joined and for the launch of a charity aiming to get children into hockey  Good luck in the Women s World Cup  HWC2018    https t co D7jlqZBBpP https t co RHZrxgPhqt,EmmaWatson,0.93,2
2018-07-07 10:32:43+00:00,Sending love to everyone marching at Pride in London today   PrideinLondon  PrideMatters,EmmaWatson,0.765,2
2018-06-17 15:30:13+00:00,Yesterday was  DayoftheAfricanChild and I celebrated my friend Alice in Zambia  amp  her work to keep girls in school  amp  out of  childmarriage  After its  UKAid Match appeal  is now unleashing the power of hundreds more  GirlGuardians like her  https t co 70TwkjZrcH https t co 7n8KQaDuE0,EmmaWatson,0.8651,2
2018-06-11 03:39:53+00:00,In awe of everybody at  Processions2018  some amazing artwork too  https t co xlBMfiJEiJ,EmmaWatson,0.5859,2
2018-06-09 19:42:59+00:00,Happy Pride  everyone   Pride,EmmaWatson,0.8176,2
2018-05-24 21:27:11+00:00,A vote for the freedom to choose  a vote for women's rights  a vote for women's control over their bodies  a vote for women's health  amp  safety  a vote towards equality  Thinking of Ireland  together4yes  repealthe8th https t co CDNj9KoSGt,EmmaWatson,0.7906,2
2018-05-17 22:52:57+00:00,This  IDAHOT I stand in solidarity with LGBTQI activists who are fighting to have the same rights  freedoms  protection  amp  support as anyone else and live without fear of violence  amp  discrimination  A world free from homophobia  transphobia  amp  biphobia needs to be a shared goal ,EmmaWatson,0.9351,2
2018-05-12 18:57:53+00:00,New UK research from found that one third of young women have experienced abuse in a relationship   amp  that many women don't recognise the signs of abuse  An important reminder that we need meaningful  SRE in schools  https t co 8RPlUpSJ4X,EmmaWatson,-0.743,2
2018-05-03 22:30:55+00:00,All power to Deepika Singh Rajawat   https t co sZzDVcIFNo,EmmaWatson,0,2
2018-05-02 19:19:17+00:00,Women in positions of power are seriously under represented  and BAME women even more so  Only 4  of MPs are BAME women  and there are none at the top of any FTSE 100 orgs  Thank you for publishing the  SexandPower18 report  timesup https t co gpFGsY1lIK,EmmaWatson,0.0536,2
2018-05-02 00:03:18+00:00, TimesUp https t co 4dKpSrMnFV,EmmaWatson,0,2
2018-05-02 00:00:20+00:00,Huge respect  admiration and love for you https t co 6Wfk4jQPsy,EmmaWatson,0.9201,2
2018-04-28 19:11:57+00:00,Amazing to see the dominated by women for the first time  Sending congratulations to the winners  amp  remembering all activists risking their security everyday for our planet https t co pHwkeio8Kd,EmmaWatson,0.8979,2
2018-04-26 22:44:58+00:00,Love you so much Noma   https t co VFyBQMJ6BG,EmmaWatson,0.6369,2
2018-04-24 20:05:38+00:00,Remembering the 1 134 people killed at  RanaPlaza five years ago  and all the garment workers  amp  trade unionists still fighting for safer workplaces today https t co YIGxVitR3T,EmmaWatson,-0.6369,2
2018-04-22 20:05:38+00:00,Love this girl   https t co iuzQbWRKRN,EmmaWatson,0.6369,2
2018-04-20 19:04:18+00:00,Huge congrats to Eve Ensler on completing the amazing run of In The Body of the World in NYC  I loved it  so beautifully performed  staged and written  Do read the book if you missed the show https t co zUzUCfa0By,EmmaWatson,0.945,2
2018-03-27 06:31:17+00:00,So proud of the women representing  TimesUp UK at last week's awards  Huge thanks to for making the Justice  amp  Equality Fund charity of the night   amp  a standing ovation to for her beautiful speech https t co Q3FUZukfCB https t co Rv2Ugtr48s,EmmaWatson,0.967,2
2018-03-24 15:52:53+00:00,I'm proud to support the amazing students behind  MarchForOurLives  Today they are marching on Washington DC to demand an end to gun violence in US schools and communities  Please show your solidarity  https t co 0boM1KLavO https t co CnF8UxnVh9,EmmaWatson,0.7269,2
2018-03-08 20:31:08+00:00,Listen to my brilliant friends from and  amp  speaking at the UN for  IWD2018  A  TimesUp reunion  https t co urxliG22kD,EmmaWatson,0.7845,2
2018-03-05 23:27:32+00:00,Fake tattoo proofreading position available  Experience with apostrophes a must ,EmmaWatson,-0.4767,2
2018-02-27 17:16:01+00:00,Yessss Australian Vogue  https t co JN7y5SrHxv,EmmaWatson,0,2
2018-02-20 20:01:38+00:00,Thank you I adore  adore  adore you  cover shoot styled by Hannes Hetta  hair by Odile Gilbert  makeup by Stephane Marais  Link in bio for full video   https t co AQvpLzh1WK,EmmaWatson,0.8979,2
2018-02-19 21:09:39+00:00,I helped guest edit March issue dedicated to conversations about sustainability and  Designing the Future  I am so proud of this  thank you for making my editing dreams come true  Link in my bio to read my guest editor letter  https t co p3vRQ1AEoh,EmmaWatson,0.9324,2
