Datetime,Text,Username
2023-03-02 23:17:05+00:00,"Happy Birthday @thebriarroseee!!!!!
You gonna be watching #walker and #WalkerIndependence with me tonight (again 🤦‍♂️)?
😊🤞",jarpad
2023-03-02 17:47:53+00:00,"Donating now!!
#YallCanToo #YallMeansAll",jarpad
2023-03-02 16:15:24+00:00,"Not to brag, but I’ve aged well 😂😂",jarpad
2023-03-02 16:09:14+00:00,"As you know @OutYouth is near and dear to @GenPadalecki and myself! 
If you would like to lend your support as well, they’re working on a fundraiser for 2023!! If you are not in a position to donate please follow and amplify their social platforms 🙏❤️ and the work they do!!",jarpad
2023-03-02 16:00:52+00:00,"Big night for everyone involved!! Thank you for having tuned in this season, we appreciated your support!!! 🙏❤️",jarpad
2023-03-02 15:58:25+00:00,"@Kat_McNamara @walker_room @CWWalkerIND @TheCW @CBSTVStudios Actress/doula/teamster, you do it all!!!!",jarpad
2023-03-01 01:01:26+00:00,Can’t wait to see!!,jarpad
2023-02-25 18:05:43+00:00,Don’t miss it!!! TONIGHT!!!!,jarpad
2023-02-24 23:50:26+00:00,"@Stands @amahnke You rang?

Did y’all hear about the Mayan Calendar? It’s days are numbered.",jarpad
2023-02-24 02:58:24+00:00,"@soniatrevisan3 Wordell Calker. 
#WalkerIndependence",jarpad
2023-02-24 02:30:26+00:00,"Hoyt Rawlins what have you done?!?!
#WalkerIndependence #Walkerverse #Walker",jarpad
2023-02-24 02:10:13+00:00,This is one of my favorite episodes. Of television. Of all time. ##WalkerIndependence,jarpad
2023-02-24 02:00:25+00:00,"Wait!!!!
What?!?!?!
WHHHHHHAAAAAATTTTT?!!!?!
#walker #Walkerverse #Walker50episodes",jarpad
2023-02-24 01:59:24+00:00,"Ummmm…. That dot keeps moving…
😳
#walker #WalkerVerse #Walkerverse",jarpad
2023-02-24 01:53:43+00:00,"Glad that #Walker is being honest with Cass…
#Walker #Walker50episodes #WalkerVerse",jarpad
2023-02-24 01:45:38+00:00,"CASSIE!!!! 😳😳😳
#walker #WalkerVerse #Walker50episodes",jarpad
2023-02-24 01:39:10+00:00,"*yur
🤦‍♂️",jarpad
2023-02-24 01:38:04+00:00,"Cordell!! You’re children are watching this!!!! 😳😳😳🤦‍♂️
#Walker #Walker50episodes #WalkerVerse",jarpad
2023-02-24 01:31:31+00:00,"Cordell and Julia working together to find hidden info… well done y’all. 👏
#walker #WalkerVerse #Walker50episodes",jarpad
2023-02-24 01:25:44+00:00,"That #WalkerIndependence trailer…
😳😳😳😳🤠
#walker #WalkerVerse",jarpad
2023-02-24 01:17:23+00:00,"Ok… so… #Walker is gonna “trust” Julia re: Grey Flag…. Let’s hope that works out for the best!!
#Walker50episodes #walkerverse",jarpad
2023-02-24 01:15:12+00:00,"#walker loves himself a sandwich 😁
#Walker50episodes #WalkerVerse",jarpad
2023-02-24 01:14:19+00:00,"@Abbydavis0623 Happy birthday!!!
Hope you’re cuddled up somewhere OTHER than an airport and having a great time. 😊🎊",jarpad
2023-02-24 01:09:18+00:00,"#Walker giving some advice on going undercover…. Brings back some scary memories…
What is Grey Flag up to?!?!
#Walker #Walker50episodes #walkerverse",jarpad
2023-02-24 01:03:32+00:00,"Watching on my iPad….in an airport…
WORTH IT!!!!
#Walker50episodes #walker #walkerverse https://t.co/3HrpvhBzl3",jarpad
2023-02-24 01:01:31+00:00,"Here we go!!!!!
#Walker50episodes #WalkerVerseDay #Walker",jarpad
2023-02-23 20:42:17+00:00,Congrats @Kat_McNamara!!!! This is amazing!!,jarpad
2023-02-18 03:45:03+00:00,"@MaxJGao @French_Gi Whoa….
Max….??!!??!!
Come on man. You interviewed me too. 
Now you gotta publicly embarrass me??
(I still love you. ❤️)",jarpad
2023-02-17 18:03:49+00:00,"It's time to end the stigma and discrimination surrounding mental illness. Keep the dialog open, honest and be there for others if you can. You're not alone. https://t.co/sPtIqi25ZP https://t.co/UUPiVQelr4",jarpad
